// General information: 
//  MT Manager version: 2019.0.1 
//  XDA version: 2019.0.1 build 2740 rev 84096 built on 2019-01-30
// Device information: 
//  DeviceId: 00B4381A
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.3.4
//  Hardware Version: 1.1.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter,SampleTimeFine,Acc_X,Acc_Y,Acc_Z,FreeAcc_E,FreeAcc_N,FreeAcc_U,Gyr_X,Gyr_Y,Gyr_Z,Quat_q0,Quat_q1,Quat_q2,Quat_q3,Roll,Pitch,Yaw
41948,NaN,-7.300668,6.231036,-3.183218,0.378906,0.227427,0.289938,-0.452606,-0.065775,0.000265,0.039749,-0.551588,0.591218,0.587053,115.312984,43.997316,-122.672220
41949,NaN,-7.232994,6.218355,-3.130830,0.359828,0.205286,0.217989,-0.493629,-0.098063,0.011433,0.038724,-0.551379,0.589777,0.588765,114.984314,44.022628,-122.746899
41950,NaN,-7.135632,6.214657,-3.008423,0.283750,0.211979,0.110226,-0.521452,-0.114773,0.016918,0.037641,-0.551104,0.588269,0.590599,114.630015,44.047099,-122.835298
41951,NaN,-7.016283,6.186951,-2.945875,0.252356,0.167242,-0.009986,-0.527371,-0.113531,0.014352,0.036577,-0.550834,0.586728,0.592449,114.272940,44.075275,-122.924525
41952,NaN,-6.983699,6.289533,-2.868484,0.154872,0.146927,0.011403,-0.511235,-0.091783,0.011682,0.035471,-0.550633,0.585231,0.594180,113.936933,44.096324,-122.994966
41953,NaN,-6.918850,6.286684,-2.743760,0.085633,0.176653,-0.071925,-0.484800,-0.050496,0.008304,0.034327,-0.550566,0.583786,0.595729,113.635912,44.111383,-123.033620
41954,NaN,-6.956734,6.374531,-2.675793,0.025478,0.201995,-0.007122,-0.438916,-0.011389,0.006113,0.033201,-0.550602,0.582497,0.597020,113.383269,44.116457,-123.043790
41955,NaN,-7.058852,6.448326,-2.572580,-0.025329,0.299000,0.083592,-0.401463,0.017867,0.006737,0.032098,-0.550722,0.581304,0.598131,113.165214,44.116913,-123.032644
41956,NaN,-7.084271,6.521874,-2.543731,-0.063060,0.298847,0.142159,-0.360640,0.045921,0.004564,0.031025,-0.550916,0.580250,0.599031,112.987008,44.109878,-123.000307
41957,NaN,-7.012256,6.562918,-2.551583,-0.097312,0.227013,0.121756,-0.314198,0.084209,0.008423,0.029948,-0.551220,0.579320,0.599706,112.851778,44.094136,-122.939238
41958,NaN,-7.032105,6.624713,-2.605219,-0.084727,0.174874,0.191648,-0.264857,0.114622,0.003820,0.028942,-0.551605,0.578558,0.600137,112.763762,44.072344,-122.856129
41959,NaN,-7.108012,6.682468,-2.682637,-0.036301,0.143553,0.304319,-0.221191,0.136487,-0.000318,0.028020,-0.552064,0.577906,0.600388,112.711846,44.050341,-122.756382
41960,NaN,-7.153998,6.744160,-2.696816,-0.044879,0.141250,0.381146,-0.188117,0.141576,-0.009268,0.027186,-0.552555,0.577340,0.600518,112.684327,44.029623,-122.649431
41961,NaN,-7.201220,6.776370,-2.799625,0.020527,0.085458,0.463836,-0.164474,0.133360,-0.019263,0.026480,-0.553052,0.576802,0.600609,112.667283,44.017946,-122.545442
41962,NaN,-7.163363,6.815076,-2.816473,-0.007074,0.037405,0.467882,-0.147551,0.108690,-0.033958,0.025928,-0.553509,0.576285,0.600709,112.651427,44.017593,-122.455113
41963,NaN,-7.118530,6.801859,-2.849733,0.007168,-0.012320,0.437168,-0.148441,0.077765,-0.046928,0.025529,-0.553907,0.575721,0.600900,112.621856,44.033595,-122.385585
41964,NaN,-7.057299,6.775301,-2.870390,0.016208,-0.060626,0.382673,-0.147989,0.058082,-0.062198,0.025206,-0.554293,0.575117,0.601136,112.585936,44.059388,-122.323801
41965,NaN,-6.905182,6.725633,-2.848439,-0.021568,-0.128555,0.237799,-0.153767,0.036589,-0.078937,0.024979,-0.554672,0.574422,0.601460,112.537439,44.100828,-122.271937
41966,NaN,-6.828638,6.685113,-2.855686,-0.017935,-0.175837,0.159511,-0.151928,0.030747,-0.084840,0.024792,-0.555040,0.573739,0.601780,112.490123,44.144672,-122.223365
41967,NaN,-6.774760,6.665115,-2.801272,-0.059393,-0.172542,0.093622,-0.146200,0.034857,-0.086463,0.024644,-0.555421,0.573065,0.602077,112.448290,44.191376,-122.173620
41968,NaN,-6.725299,6.625910,-2.762004,-0.076823,-0.169936,0.022261,-0.140321,0.036159,-0.082834,0.024467,-0.555797,0.572422,0.602348,112.410028,44.233026,-122.121678
41969,NaN,-6.675231,6.587008,-2.723432,-0.094361,-0.167708,-0.049111,-0.133587,0.041085,-0.071790,0.024278,-0.556159,0.571819,0.602595,112.375030,44.270080,-122.070222
41970,NaN,-6.619525,6.567959,-2.670937,-0.135522,-0.163942,-0.115014,-0.131216,0.046061,-0.053755,0.024010,-0.556480,0.571285,0.602815,112.340959,44.294210,-122.019814
41971,NaN,-6.565034,6.509296,-2.606722,-0.156946,-0.136283,-0.209438,-0.123911,0.052238,-0.043342,0.023712,-0.556799,0.570781,0.603010,112.310364,44.313219,-121.967014
41972,NaN,-6.550293,6.456940,-2.579750,-0.143775,-0.111440,-0.261749,-0.111586,0.061254,-0.033982,0.023396,-0.557107,0.570362,0.603134,112.291228,44.323599,-121.911360
41973,NaN,-6.554799,6.438860,-2.592092,-0.121272,-0.113292,-0.267232,-0.090458,0.066323,-0.017976,0.023095,-0.557382,0.570048,0.603189,112.283305,44.326361,-121.857859
41974,NaN,-6.610418,6.437238,-2.610715,-0.086443,-0.092551,-0.224390,-0.065848,0.052635,-0.006473,0.022848,-0.557581,0.569842,0.603209,112.280080,44.324043,-121.816946
41975,NaN,-6.582126,6.437457,-2.657383,-0.066704,-0.143152,-0.231353,-0.049490,0.040598,0.001504,0.022684,-0.557713,0.569708,0.603219,112.278584,44.322303,-121.789412
41976,NaN,-6.619008,6.423732,-2.666150,-0.037289,-0.121401,-0.212280,-0.033239,0.029451,0.014551,0.022531,-0.557778,0.569657,0.603214,112.277574,44.313876,-121.772065
41977,NaN,-6.666538,6.482448,-2.683442,-0.046216,-0.124292,-0.135491,-0.020892,0.022435,0.028733,0.022425,-0.557774,0.569678,0.603202,112.276425,44.302793,-121.767116
41978,NaN,-6.677386,6.516666,-2.679539,-0.065710,-0.124610,-0.106272,-0.011100,0.013185,0.040153,0.022302,-0.557714,0.569763,0.603182,112.274251,44.284325,-121.769593
41979,NaN,-6.692032,6.532726,-2.690072,-0.061446,-0.126297,-0.082499,-0.012278,0.005154,0.055457,0.022152,-0.557593,0.569873,0.603195,112.263171,44.260571,-121.781739
41980,NaN,-6.708362,6.509318,-2.687751,-0.037439,-0.103530,-0.087194,-0.007110,-0.009954,0.069568,0.022018,-0.557379,0.570049,0.603231,112.245124,44.231525,-121.810243
41981,NaN,-6.717203,6.545987,-2.682832,-0.057257,-0.104028,-0.057983,0.002390,-0.011032,0.082178,0.021908,-0.557117,0.570300,0.603240,112.230662,44.197853,-121.845855
41982,NaN,-6.752808,6.496003,-2.678949,-0.008108,-0.058063,-0.067340,0.003794,-0.019338,0.088610,0.021773,-0.556819,0.570561,0.603273,112.210079,44.160729,-121.886997
41983,NaN,-6.699997,6.466722,-2.687917,0.002313,-0.082137,-0.121114,0.013166,-0.017586,0.095993,0.021647,-0.556506,0.570866,0.603277,112.194173,44.120580,-121.929211
41984,NaN,-6.777748,6.471456,-2.660516,0.016049,-0.011575,-0.071252,0.020788,-0.012521,0.097733,0.021513,-0.556201,0.571205,0.603244,112.185018,44.077125,-121.967982
41985,NaN,-6.782914,6.487723,-2.630189,-0.007304,0.013179,-0.065065,0.031235,-0.016969,0.104814,0.021380,-0.555877,0.571562,0.603209,112.175478,44.031986,-122.009418
41986,NaN,-6.806374,6.428154,-2.659257,0.064273,0.033607,-0.080562,0.044847,-0.020445,0.102385,0.021321,-0.555532,0.571984,0.603128,112.175169,43.987769,-122.055360
41987,NaN,-6.811653,6.443858,-2.630212,0.040687,0.058215,-0.074367,0.058410,-0.019477,0.101289,0.021314,-0.555194,0.572428,0.603019,112.181744,43.946505,-122.100876
41988,NaN,-6.800773,6.468288,-2.618202,0.015793,0.058942,-0.068945,0.060366,-0.014061,0.106036,0.021269,-0.554855,0.572908,0.602876,112.192916,43.898978,-122.143158
41989,NaN,-6.834660,6.480191,-2.657879,0.049120,0.055102,-0.026763,0.067830,-0.001731,0.103864,0.021219,-0.554563,0.573399,0.602680,112.215005,43.850756,-122.175262
41990,NaN,-6.848316,6.457999,-2.660817,0.073149,0.077854,-0.031393,0.068972,0.006155,0.109073,0.021131,-0.554275,0.573915,0.602457,112.240835,43.797257,-122.203572
41991,NaN,-6.858712,6.476546,-2.676613,0.077190,0.076120,-0.007583,0.067903,0.013266,0.114498,0.021025,-0.553990,0.574444,0.602218,112.268887,43.741111,-122.229801
41992,NaN,-6.869633,6.433570,-2.653501,0.097245,0.124289,-0.035222,0.068128,0.021995,0.113587,0.020876,-0.553737,0.574972,0.601953,112.301350,43.681798,-122.247870
41993,NaN,-6.920899,6.397169,-2.666995,0.151737,0.168779,-0.020652,0.070366,0.027231,0.114738,0.020723,-0.553500,0.575494,0.601677,112.336223,43.622827,-122.262629
