// General information: 
//  MT Manager version: 2019.0.1 
//  XDA version: 2019.0.1 build 2740 rev 84096 built on 2019-01-30
// Device information: 
//  DeviceId: 00B43876
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.3.4
//  Hardware Version: 1.1.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter,SampleTimeFine,Acc_X,Acc_Y,Acc_Z,FreeAcc_E,FreeAcc_N,FreeAcc_U,Gyr_X,Gyr_Y,Gyr_Z,Quat_q0,Quat_q1,Quat_q2,Quat_q3,Roll,Pitch,Yaw
59923,NaN,-1.074581,-9.620727,-0.783337,0.061008,0.005222,-0.100685,-0.003559,0.029966,0.009544,0.034281,0.040001,0.733797,-0.677323,-94.620562,5.998222,179.293234
59924,NaN,-1.052115,-9.618017,-0.776711,0.037603,-0.001190,-0.106244,-0.000151,0.020527,0.010284,0.034277,0.040111,0.733794,-0.677321,-94.621103,6.006438,179.283627
59925,NaN,-1.025883,-9.649588,-0.770503,0.006622,-0.009756,-0.078186,-0.003878,0.009692,0.012290,0.034321,0.040191,0.733801,-0.677306,-94.623153,6.016352,179.280264
59926,NaN,-1.063451,-9.652966,-0.818116,0.042233,0.036697,-0.067080,-0.003603,0.000178,0.009595,0.034391,0.040228,0.733806,-0.677294,-94.624488,6.025112,179.282460
59927,NaN,-1.121817,-9.607359,-0.815470,0.103480,0.036605,-0.106361,-0.007556,-0.007985,0.010866,0.034496,0.040242,0.733823,-0.677270,-94.627573,6.035031,179.289314
59928,NaN,-1.028706,-9.649158,-0.772121,0.004933,-0.009329,-0.078185,-0.008407,-0.004140,0.004507,0.034565,0.040246,0.733845,-0.677242,-94.631362,6.041144,179.294159
59929,NaN,-1.031834,-9.667058,-0.756558,0.005346,-0.026851,-0.061363,-0.006654,-0.002500,-0.001544,0.034608,0.040233,0.733862,-0.677222,-94.634199,6.043722,179.298440
59930,NaN,-1.061875,-9.653268,-0.747633,0.036182,-0.035662,-0.072588,-0.009612,0.001594,-0.000813,0.034638,0.040236,0.733890,-0.677190,-94.639024,6.046515,179.300301
59931,NaN,-1.038550,-9.650641,-0.741343,0.012773,-0.042084,-0.078156,-0.006220,0.003236,-0.000927,0.034662,0.040244,0.733907,-0.677170,-94.641963,6.049180,179.301259
59932,NaN,-1.028489,-9.648940,-0.775135,0.002672,-0.008757,-0.078183,-0.008037,0.009291,-0.001660,0.034661,0.040271,0.733931,-0.677143,-94.646313,6.051143,179.298667
