// General information: 
//  MT Manager version: 2019.0.1 
//  XDA version: 2019.0.1 build 2740 rev 84096 built on 2019-01-30
// Device information: 
//  DeviceId: 00B4381A
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.3.4
//  Hardware Version: 1.1.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter,SampleTimeFine,Acc_X,Acc_Y,Acc_Z,FreeAcc_E,FreeAcc_N,FreeAcc_U,Gyr_X,Gyr_Y,Gyr_Z,Quat_q0,Quat_q1,Quat_q2,Quat_q3,Roll,Pitch,Yaw,Latitude,Longitude,Altitude,Vel_E,Vel_N,Vel_U
30577,NaN,-7.767695,3.619539,5.741006,0.945889,0.329794,0.453461,-0.044851,-0.102070,0.120950,0.160164,-0.339881,0.303284,0.875698,35.824598,43.821710,174.085226,NaN,NaN,NaN,NaN,NaN,NaN
30578,NaN,-7.584399,3.559068,5.621050,0.917671,0.311190,0.229588,-0.038867,-0.093576,0.101413,0.159858,-0.339339,0.303242,0.875979,35.818799,43.745727,174.099827,NaN,NaN,NaN,NaN,NaN,NaN
30579,NaN,-7.419521,3.490541,5.545297,0.881191,0.324949,0.041316,-0.039152,-0.076128,0.062646,0.159699,-0.338935,0.303145,0.876198,35.800831,43.691242,174.097111,NaN,NaN,NaN,NaN,NaN,NaN
30580,NaN,-7.306906,3.474846,5.639662,0.767881,0.402485,0.011750,-0.039499,-0.047979,0.029428,0.159639,-0.338703,0.303015,0.876344,35.777270,43.660639,174.086549,NaN,NaN,NaN,NaN,NaN,NaN
30581,NaN,-7.481256,3.557164,6.008458,0.672033,0.558761,0.383406,-0.042489,-0.002937,-0.009266,0.159678,-0.338731,0.302840,0.876386,35.748919,43.664261,174.071560,NaN,NaN,NaN,NaN,NaN,NaN
30582,NaN,-8.029125,3.743851,6.569512,0.694007,0.730161,1.170344,-0.033147,0.021999,-0.032274,0.159794,-0.338893,0.302688,0.876354,35.723926,43.686891,174.053663,NaN,NaN,NaN,NaN,NaN,NaN
30583,NaN,-7.670184,3.847980,6.398944,0.464467,0.564354,0.866776,-0.035381,0.021220,-0.064191,0.160049,-0.339105,0.302471,0.876301,35.682925,43.720107,174.014483,NaN,NaN,NaN,NaN,NaN,NaN
30584,NaN,-7.073462,4.072601,5.910892,0.160058,0.120968,0.262942,-0.036719,0.064441,-0.099393,0.160389,-0.339558,0.302224,0.876149,35.639409,43.784934,173.972801,NaN,NaN,NaN,NaN,NaN,NaN
30585,NaN,-6.780403,4.225251,5.644337,-0.005999,-0.148567,-0.031940,-0.051774,0.102380,-0.129402,0.160779,-0.340236,0.301888,0.875930,35.585678,43.877665,173.928893,NaN,NaN,NaN,NaN,NaN,NaN
30586,NaN,-6.622998,4.346790,5.586845,-0.166908,-0.271629,-0.124042,-0.056459,0.115914,-0.152346,0.161240,-0.341010,0.301505,0.875676,35.523296,43.984078,173.876454,NaN,NaN,NaN,NaN,NaN,NaN
30587,NaN,-6.530208,4.444314,5.608581,-0.311031,-0.331697,-0.135657,-0.073514,0.120684,-0.161274,0.161705,-0.341834,0.301035,0.875431,35.448196,44.095880,173.819891,NaN,NaN,NaN,NaN,NaN,NaN
30588,NaN,-6.476819,4.471977,5.738548,-0.447610,-0.272964,-0.086238,-0.090952,0.132153,-0.147087,0.162058,-0.342698,0.300522,0.875204,35.373159,44.208023,173.777861,NaN,NaN,NaN,NaN,NaN,NaN
30589,NaN,-6.584230,4.423002,5.800596,-0.397886,-0.211657,0.003564,-0.116108,0.137832,-0.125740,0.162268,-0.343577,0.299940,0.875020,35.294785,44.315957,173.751797,NaN,NaN,NaN,NaN,NaN,NaN
30590,NaN,-6.656900,4.349614,5.898153,-0.377807,-0.106501,0.080115,-0.129356,0.135519,-0.096575,0.162329,-0.344410,0.299348,0.874884,35.221462,44.412862,173.743848,NaN,NaN,NaN,NaN,NaN,NaN
