// General information: 
//  MT Manager version: 2019.0.1 
//  XDA version: 2019.0.1 build 2740 rev 84096 built on 2019-01-30
// Device information: 
//  DeviceId: 00B43876
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.3.4
//  Hardware Version: 1.1.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter,SampleTimeFine,Acc_X,Acc_Y,Acc_Z,FreeAcc_E,FreeAcc_N,FreeAcc_U,Gyr_X,Gyr_Y,Gyr_Z,Quat_q0,Quat_q1,Quat_q2,Quat_q3,Roll,Pitch,Yaw,Latitude,Longitude,Altitude,Vel_E,Vel_N,Vel_U
30577,NaN,-1.835745,9.613737,-1.738124,0.101501,0.018959,0.127348,0.045138,0.025609,0.000877,-0.315891,-0.488682,0.586842,0.563045,99.737566,10.343200,-109.155724,NaN,NaN,NaN,NaN,NaN,NaN
30578,NaN,-1.881743,9.648632,-1.623108,-0.001451,0.101614,0.150305,0.045294,0.035176,0.015368,-0.315905,-0.488767,0.586993,0.562806,99.767862,10.328683,-109.143519,NaN,NaN,NaN,NaN,NaN,NaN
30579,NaN,-1.859590,9.562153,-1.580179,-0.033704,0.110002,0.055270,0.055439,0.026489,0.017459,-0.315887,-0.488850,0.587180,0.562548,99.803051,10.313730,-109.133915,NaN,NaN,NaN,NaN,NaN,NaN
30580,NaN,-1.767789,9.548832,-1.572199,-0.072842,0.033828,0.024519,0.064083,0.031806,0.024671,-0.315875,-0.488934,0.587408,0.562245,99.843641,10.294372,-109.123625,NaN,NaN,NaN,NaN,NaN,NaN
30581,NaN,-1.763272,9.626019,-1.601620,-0.069505,0.016477,0.103433,0.065770,0.032340,0.030102,-0.315885,-0.489012,0.587646,0.561922,99.885113,10.271696,-109.111947,NaN,NaN,NaN,NaN,NaN,NaN
30582,NaN,-1.725925,9.623190,-1.614223,-0.074687,-0.016369,0.096120,0.064207,0.033542,0.029224,-0.315880,-0.489075,0.587894,0.561610,99.926106,10.249304,-109.103279,NaN,NaN,NaN,NaN,NaN,NaN
30583,NaN,-1.725553,9.659371,-1.652840,-0.052310,-0.028443,0.137655,0.059623,0.032595,0.028248,-0.315901,-0.489150,0.588109,0.561307,99.964101,10.227634,-109.091302,NaN,NaN,NaN,NaN,NaN,NaN
30584,NaN,-1.717282,9.660410,-1.731581,0.012884,-0.058679,0.150612,0.048967,0.020962,0.024106,-0.315886,-0.489170,0.588318,0.561080,99.994851,10.209279,-109.088918,NaN,NaN,NaN,NaN,NaN,NaN
30585,NaN,-1.661621,9.550649,-1.791342,0.070945,-0.115409,0.044616,0.034550,0.013490,0.018975,-0.315885,-0.489179,0.588471,0.560912,100.016694,10.194732,-109.086981,NaN,NaN,NaN,NaN,NaN,NaN
30586,NaN,-1.594723,9.486307,-1.799385,0.068526,-0.170082,-0.028142,0.029777,0.021772,0.014779,-0.315898,-0.489201,0.588599,0.560751,100.036626,10.181403,-109.082583,NaN,NaN,NaN,NaN,NaN,NaN
30587,NaN,-1.523934,9.462994,-1.797490,0.047020,-0.230059,-0.063510,0.020395,0.022744,0.006659,-0.315924,-0.489250,0.588668,0.560622,100.051515,10.172878,-109.074101,NaN,NaN,NaN,NaN,NaN,NaN
30588,NaN,-1.485262,9.405392,-1.756851,0.008234,-0.244127,-0.133107,0.011941,0.022771,-0.006787,-0.315923,-0.489313,0.588689,0.560544,100.061881,10.171878,-109.066412,NaN,NaN,NaN,NaN,NaN,NaN
30589,NaN,-1.504312,9.376520,-1.752137,0.014694,-0.221238,-0.158522,0.013418,0.024728,-0.014450,-0.315914,-0.489419,0.588683,0.560464,100.073352,10.175061,-109.054649,NaN,NaN,NaN,NaN,NaN,NaN
30590,NaN,-1.608991,9.497314,-1.791710,0.055791,-0.151049,-0.016151,0.011921,0.029510,-0.026140,-0.315881,-0.489562,0.588645,0.560398,100.084836,10.184302,-109.040520,NaN,NaN,NaN,NaN,NaN,NaN
30591,NaN,-1.674576,9.542442,-1.772339,0.047001,-0.089130,0.035837,0.004729,0.028971,-0.027221,-0.315869,-0.489703,0.588577,0.560353,100.091993,10.194259,-109.025020,NaN,NaN,NaN,NaN,NaN,NaN
30592,NaN,-1.735969,9.628678,-1.743010,0.019224,-0.032391,0.125204,-0.002870,0.025898,-0.028276,-0.315858,-0.489814,0.588498,0.560344,100.094269,10.204730,-109.013131,NaN,NaN,NaN,NaN,NaN,NaN
30593,NaN,-1.778894,9.647631,-1.679961,-0.029636,0.025933,0.140300,-0.016960,0.033373,-0.025187,-0.315918,-0.489928,0.588367,0.560349,100.089415,10.213097,-108.995313,NaN,NaN,NaN,NaN,NaN,NaN
30594,NaN,-1.756720,9.581488,-1.718959,0.014518,-0.002730,0.079005,-0.021824,0.031700,-0.021533,-0.315991,-0.490010,0.588239,0.560370,100.081445,10.219327,-108.980066,NaN,NaN,NaN,NaN,NaN,NaN
30595,NaN,-1.755364,9.544887,-1.685073,-0.007891,0.010277,0.037463,-0.024747,0.024946,-0.020012,-0.316060,-0.490072,0.588112,0.560410,100.071182,10.225624,-108.967607,NaN,NaN,NaN,NaN,NaN,NaN
30596,NaN,-1.740953,9.514189,-1.682614,-0.006524,-0.000138,0.004739,-0.023618,0.022599,-0.012229,-0.316138,-0.490099,0.588017,0.560442,100.061073,10.227406,-108.958319,NaN,NaN,NaN,NaN,NaN,NaN
30597,NaN,-1.723152,9.542895,-1.687155,-0.013063,-0.022099,0.030174,-0.018439,0.016856,-0.008051,-0.316202,-0.490114,0.587949,0.560465,100.053386,10.227770,-108.951715,NaN,NaN,NaN,NaN,NaN,NaN
30598,NaN,-1.734771,9.614948,-1.676821,-0.033448,-0.015867,0.100285,-0.020043,0.013108,-0.004982,-0.316252,-0.490086,0.587907,0.560505,100.044182,10.226410,-108.951052,NaN,NaN,NaN,NaN,NaN,NaN
30599,NaN,-1.797152,9.621324,-1.736815,0.042037,0.020488,0.127834,-0.020880,0.009455,0.001969,-0.316327,-0.490046,0.587869,0.560537,100.034162,10.221862,-108.949708,NaN,NaN,NaN,NaN,NaN,NaN
30600,NaN,-1.795444,9.603379,-1.718891,0.030839,0.027286,0.107061,-0.020639,0.005228,0.001281,-0.316379,-0.489984,0.587848,0.560585,100.023912,10.217744,-108.952959,NaN,NaN,NaN,NaN,NaN,NaN
30601,NaN,-1.753669,9.605939,-1.680889,-0.015797,0.001739,0.095620,-0.026439,0.004500,0.010264,-0.316476,-0.489897,0.587823,0.560632,100.010055,10.209011,-108.955294,NaN,NaN,NaN,NaN,NaN,NaN
30602,NaN,-1.625536,9.515374,-1.719417,0.001614,-0.120796,-0.008275,-0.030730,0.004319,0.004681,-0.316572,-0.489820,0.587770,0.560701,99.993615,10.203374,-108.956791,NaN,NaN,NaN,NaN,NaN,NaN
30603,NaN,-1.654776,9.463265,-1.662539,-0.026800,-0.068171,-0.063311,-0.034465,-0.007498,0.006246,-0.316642,-0.489699,0.587731,0.560807,99.974015,10.198100,-108.965594,NaN,NaN,NaN,NaN,NaN,NaN
30604,NaN,-1.643324,9.392057,-1.668081,-0.006461,-0.073456,-0.133416,-0.032378,-0.012203,0.001798,-0.316670,-0.489570,0.587705,0.560931,99.955407,10.195848,-108.978740,NaN,NaN,NaN,NaN,NaN,NaN
30605,NaN,-1.610703,9.408621,-1.687019,-0.000491,-0.112624,-0.119913,-0.022914,-0.003223,0.002080,-0.316714,-0.489491,0.587681,0.561000,99.942935,10.192497,-108.984668,NaN,NaN,NaN,NaN,NaN,NaN
30606,NaN,-1.660277,9.442105,-1.679759,0.003351,-0.067850,-0.079916,-0.021068,-0.003698,-0.001677,-0.316731,-0.489412,0.587665,0.561077,99.931431,10.191126,-108.992763,NaN,NaN,NaN,NaN,NaN,NaN
30607,NaN,-1.712853,9.512243,-1.704773,0.029547,-0.035640,0.001626,-0.018049,-0.001549,-0.001575,-0.316757,-0.489356,0.587644,0.561133,99.921982,10.189671,-108.997363,NaN,NaN,NaN,NaN,NaN,NaN
